-0.0976996 1.18979 
-0.0955935 1.17996 
-0.0936752 1.17047 
-0.0919387 1.16131 
-0.0903783 1.15246 
-0.0889891 1.14389 
-0.0877666 1.1356 
-0.0867066 1.12756 
-0.0858056 1.11976 
-0.0850604 1.11219 
-0.0844681 1.10481 
-0.0840261 1.09763 
-0.0837325 1.09063 
-0.0835855 1.08379 
-0.0835835 1.0771 
-0.0837255 1.07055 
-0.0840106 1.06413 
-0.0844383 1.05782 
-0.0850084 1.05161 
-0.0857209 1.0455 
-0.0865761 1.03946 
-0.0875745 1.0335 
-0.0887171 1.02759 
-0.0900049 1.02173 
-0.0914393 1.0159 
-0.0930218 1.01011 
-0.0947544 1.00433 
-0.096639 0.998562 
-0.0986782 0.99279 
-0.100874 0.987005 
-0.103231 0.981198 
-0.10575 0.975359 
-0.108435 0.969478 
-0.111291 0.963546 
-0.11432 0.957552 
-0.117527 0.951486 
-0.120916 0.945339 
-0.124492 0.9391 
-0.128259 0.932758 
-0.132223 0.926304 
-0.136389 0.919727 
-0.140762 0.913016 
-0.145349 0.90616 
-0.150156 0.899148 
-0.155188 0.891968 
-0.160454 0.884609 
-0.165958 0.877059 
-0.17171 0.869305 
-0.177715 0.861336 
